Q23
0% of my time
1% to 25% of my time
50% to 74% of my time
25% to 49% of my time
1% to 25% of my time
0% of my time
1% to 25% of my time
75% to 99% of my time
25% to 49% of my time
1% to 25% of my time
1% to 25% of my time
50% to 74% of my time
25% to 49% of my time
50% to 74% of my time
50% to 74% of my time
25% to 49% of my time
75% to 99% of my time
50% to 74% of my time
25% to 49% of my time
50% to 74% of my time
75% to 99% of my time
75% to 99% of my time
1% to 25% of my time
25% to 49% of my time
50% to 74% of my time
25% to 49% of my time
50% to 74% of my time
75% to 99% of my time
1% to 25% of my time
25% to 49% of my time
1% to 25% of my time
50% to 74% of my time
50% to 74% of my time
75% to 99% of my time
100% of my time
1% to 25% of my time
1% to 25% of my time
75% to 99% of my time
1% to 25% of my time
50% to 74% of my time
0% of my time
50% to 74% of my time
75% to 99% of my time
1% to 25% of my time
75% to 99% of my time
25% to 49% of my time
75% to 99% of my time
25% to 49% of my time
1% to 25% of my time
1% to 25% of my time
25% to 49% of my time
50% to 74% of my time
75% to 99% of my time
25% to 49% of my time
25% to 49% of my time
25% to 49% of my time
75% to 99% of my time
50% to 74% of my time
25% to 49% of my time
50% to 74% of my time
75% to 99% of my time
75% to 99% of my time
50% to 74% of my time
50% to 74% of my time
1% to 25% of my time
1% to 25% of my time
50% to 74% of my time
1% to 25% of my time
25% to 49% of my time
75% to 99% of my time
1% to 25% of my time
1% to 25% of my time
50% to 74% of my time
50% to 74% of my time
25% to 49% of my time
25% to 49% of my time
100% of my time
100% of my time
50% to 74% of my time
50% to 74% of my time
50% to 74% of my time
50% to 74% of my time
1% to 25% of my time
0% of my time
1% to 25% of my time
50% to 74% of my time
25% to 49% of my time
75% to 99% of my time
25% to 49% of my time
50% to 74% of my time
1% to 25% of my time
25% to 49% of my time
1% to 25% of my time
50% to 74% of my time
1% to 25% of my time
50% to 74% of my time
50% to 74% of my time
1% to 25% of my time
25% to 49% of my time
100% of my time
75% to 99% of my time
50% to 74% of my time
25% to 49% of my time
1% to 25% of my time
1% to 25% of my time
25% to 49% of my time
1% to 25% of my time
75% to 99% of my time
50% to 74% of my time
50% to 74% of my time
25% to 49% of my time
50% to 74% of my time
1% to 25% of my time
75% to 99% of my time
50% to 74% of my time
1% to 25% of my time
25% to 49% of my time
50% to 74% of my time
50% to 74% of my time
1% to 25% of my time
1% to 25% of my time
25% to 49% of my time
50% to 74% of my time
1% to 25% of my time
0% of my time
1% to 25% of my time
1% to 25% of my time
75% to 99% of my time
50% to 74% of my time
1% to 25% of my time
25% to 49% of my time
25% to 49% of my time
1% to 25% of my time
50% to 74% of my time
100% of my time
50% to 74% of my time
50% to 74% of my time
25% to 49% of my time
25% to 49% of my time
25% to 49% of my time
75% to 99% of my time
1% to 25% of my time
75% to 99% of my time
50% to 74% of my time
1% to 25% of my time
25% to 49% of my time
25% to 49% of my time
1% to 25% of my time
75% to 99% of my time
50% to 74% of my time
25% to 49% of my time
75% to 99% of my time
25% to 49% of my time
25% to 49% of my time
50% to 74% of my time
25% to 49% of my time
75% to 99% of my time
50% to 74% of my time
1% to 25% of my time
50% to 74% of my time
75% to 99% of my time
25% to 49% of my time
75% to 99% of my time
50% to 74% of my time
25% to 49% of my time
100% of my time
50% to 74% of my time
25% to 49% of my time
25% to 49% of my time
1% to 25% of my time
1% to 25% of my time
50% to 74% of my time
1% to 25% of my time
25% to 49% of my time
75% to 99% of my time
50% to 74% of my time
25% to 49% of my time
50% to 74% of my time
1% to 25% of my time
1% to 25% of my time
1% to 25% of my time
50% to 74% of my time
50% to 74% of my time
1% to 25% of my time
50% to 74% of my time
25% to 49% of my time
25% to 49% of my time
75% to 99% of my time
50% to 74% of my time
75% to 99% of my time
50% to 74% of my time
25% to 49% of my time
75% to 99% of my time
25% to 49% of my time
25% to 49% of my time
25% to 49% of my time
25% to 49% of my time
25% to 49% of my time
25% to 49% of my time
25% to 49% of my time
25% to 49% of my time
0% of my time
75% to 99% of my time
1% to 25% of my time
50% to 74% of my time
25% to 49% of my time
100% of my time
50% to 74% of my time
1% to 25% of my time
1% to 25% of my time
50% to 74% of my time
75% to 99% of my time
1% to 25% of my time
50% to 74% of my time
1% to 25% of my time
1% to 25% of my time
75% to 99% of my time
50% to 74% of my time
25% to 49% of my time
25% to 49% of my time
1% to 25% of my time
75% to 99% of my time
1% to 25% of my time
25% to 49% of my time
50% to 74% of my time
25% to 49% of my time
25% to 49% of my time
75% to 99% of my time
50% to 74% of my time
1% to 25% of my time
1% to 25% of my time
50% to 74% of my time
25% to 49% of my time
25% to 49% of my time
1% to 25% of my time
1% to 25% of my time
100% of my time
25% to 49% of my time
50% to 74% of my time
50% to 74% of my time
50% to 74% of my time
1% to 25% of my time
50% to 74% of my time
25% to 49% of my time
25% to 49% of my time
1% to 25% of my time
50% to 74% of my time
50% to 74% of my time
25% to 49% of my time
25% to 49% of my time
50% to 74% of my time
50% to 74% of my time
25% to 49% of my time
25% to 49% of my time
50% to 74% of my time
75% to 99% of my time
25% to 49% of my time
50% to 74% of my time
1% to 25% of my time
50% to 74% of my time
50% to 74% of my time
25% to 49% of my time
75% to 99% of my time
25% to 49% of my time
50% to 74% of my time
1% to 25% of my time
50% to 74% of my time
50% to 74% of my time
25% to 49% of my time
1% to 25% of my time
1% to 25% of my time
0% of my time
1% to 25% of my time
50% to 74% of my time
25% to 49% of my time
25% to 49% of my time
50% to 74% of my time
50% to 74% of my time
25% to 49% of my time
50% to 74% of my time
25% to 49% of my time
1% to 25% of my time
25% to 49% of my time
50% to 74% of my time
100% of my time
100% of my time
50% to 74% of my time
1% to 25% of my time
1% to 25% of my time
25% to 49% of my time
1% to 25% of my time
25% to 49% of my time
50% to 74% of my time
75% to 99% of my time
1% to 25% of my time
50% to 74% of my time
75% to 99% of my time
75% to 99% of my time
0% of my time
50% to 74% of my time
50% to 74% of my time
50% to 74% of my time
25% to 49% of my time
50% to 74% of my time
50% to 74% of my time
1% to 25% of my time
25% to 49% of my time
50% to 74% of my time
50% to 74% of my time
50% to 74% of my time
50% to 74% of my time
25% to 49% of my time
1% to 25% of my time
25% to 49% of my time
25% to 49% of my time
75% to 99% of my time
25% to 49% of my time
75% to 99% of my time
0% of my time
50% to 74% of my time
50% to 74% of my time
1% to 25% of my time
25% to 49% of my time
50% to 74% of my time
0% of my time
50% to 74% of my time
25% to 49% of my time
50% to 74% of my time
1% to 25% of my time
1% to 25% of my time
100% of my time
50% to 74% of my time
50% to 74% of my time
25% to 49% of my time
0% of my time
1% to 25% of my time
50% to 74% of my time
50% to 74% of my time
50% to 74% of my time
1% to 25% of my time
75% to 99% of my time
50% to 74% of my time
50% to 74% of my time
1% to 25% of my time
50% to 74% of my time
1% to 25% of my time
1% to 25% of my time
50% to 74% of my time
25% to 49% of my time
50% to 74% of my time
1% to 25% of my time
75% to 99% of my time
50% to 74% of my time
0% of my time
1% to 25% of my time
75% to 99% of my time
50% to 74% of my time
25% to 49% of my time
0% of my time
50% to 74% of my time
50% to 74% of my time
0% of my time
25% to 49% of my time
75% to 99% of my time
50% to 74% of my time
75% to 99% of my time
75% to 99% of my time
50% to 74% of my time
25% to 49% of my time
25% to 49% of my time
75% to 99% of my time
1% to 25% of my time
1% to 25% of my time
100% of my time
1% to 25% of my time
25% to 49% of my time
25% to 49% of my time
75% to 99% of my time
25% to 49% of my time
1% to 25% of my time
25% to 49% of my time
25% to 49% of my time
50% to 74% of my time
50% to 74% of my time
25% to 49% of my time
50% to 74% of my time
25% to 49% of my time
50% to 74% of my time
50% to 74% of my time
1% to 25% of my time
25% to 49% of my time
1% to 25% of my time
25% to 49% of my time
1% to 25% of my time
50% to 74% of my time
1% to 25% of my time
1% to 25% of my time
25% to 49% of my time
75% to 99% of my time
25% to 49% of my time
25% to 49% of my time
25% to 49% of my time
50% to 74% of my time
100% of my time
50% to 74% of my time
1% to 25% of my time
50% to 74% of my time
1% to 25% of my time
25% to 49% of my time
1% to 25% of my time
50% to 74% of my time
1% to 25% of my time
50% to 74% of my time
25% to 49% of my time
1% to 25% of my time
1% to 25% of my time
25% to 49% of my time
25% to 49% of my time
25% to 49% of my time
1% to 25% of my time
50% to 74% of my time
25% to 49% of my time
1% to 25% of my time
75% to 99% of my time
25% to 49% of my time
100% of my time
1% to 25% of my time
50% to 74% of my time
1% to 25% of my time
25% to 49% of my time
50% to 74% of my time
25% to 49% of my time
1% to 25% of my time
50% to 74% of my time
25% to 49% of my time
1% to 25% of my time
50% to 74% of my time
25% to 49% of my time
25% to 49% of my time
50% to 74% of my time
50% to 74% of my time
75% to 99% of my time
1% to 25% of my time
50% to 74% of my time
75% to 99% of my time
50% to 74% of my time
25% to 49% of my time
25% to 49% of my time
1% to 25% of my time
75% to 99% of my time
25% to 49% of my time
75% to 99% of my time
50% to 74% of my time
25% to 49% of my time
1% to 25% of my time
75% to 99% of my time
50% to 74% of my time
50% to 74% of my time
50% to 74% of my time
1% to 25% of my time
75% to 99% of my time
1% to 25% of my time
0% of my time
50% to 74% of my time
0% of my time
50% to 74% of my time
25% to 49% of my time
50% to 74% of my time
25% to 49% of my time
75% to 99% of my time
1% to 25% of my time
1% to 25% of my time
100% of my time
50% to 74% of my time
50% to 74% of my time
25% to 49% of my time
25% to 49% of my time
50% to 74% of my time
25% to 49% of my time
75% to 99% of my time
1% to 25% of my time
25% to 49% of my time
25% to 49% of my time
50% to 74% of my time
50% to 74% of my time
50% to 74% of my time
75% to 99% of my time
25% to 49% of my time
1% to 25% of my time
25% to 49% of my time
50% to 74% of my time
25% to 49% of my time
1% to 25% of my time
50% to 74% of my time
100% of my time
1% to 25% of my time
50% to 74% of my time
75% to 99% of my time
75% to 99% of my time
25% to 49% of my time
50% to 74% of my time
50% to 74% of my time
1% to 25% of my time
25% to 49% of my time
25% to 49% of my time
1% to 25% of my time
75% to 99% of my time
1% to 25% of my time
25% to 49% of my time
1% to 25% of my time
1% to 25% of my time
50% to 74% of my time
1% to 25% of my time
75% to 99% of my time
100% of my time
25% to 49% of my time
75% to 99% of my time
75% to 99% of my time
75% to 99% of my time
0% of my time
25% to 49% of my time
25% to 49% of my time
1% to 25% of my time
1% to 25% of my time
1% to 25% of my time
1% to 25% of my time
25% to 49% of my time
1% to 25% of my time
1% to 25% of my time
0% of my time
25% to 49% of my time
25% to 49% of my time
1% to 25% of my time
75% to 99% of my time
100% of my time
1% to 25% of my time
75% to 99% of my time
25% to 49% of my time
1% to 25% of my time
50% to 74% of my time
25% to 49% of my time
25% to 49% of my time
25% to 49% of my time
75% to 99% of my time
75% to 99% of my time
25% to 49% of my time
1% to 25% of my time
50% to 74% of my time
50% to 74% of my time
50% to 74% of my time
75% to 99% of my time
50% to 74% of my time
1% to 25% of my time
50% to 74% of my time
50% to 74% of my time
25% to 49% of my time
50% to 74% of my time
25% to 49% of my time
25% to 49% of my time
1% to 25% of my time
75% to 99% of my time
75% to 99% of my time
50% to 74% of my time
1% to 25% of my time
50% to 74% of my time
1% to 25% of my time
75% to 99% of my time
50% to 74% of my time
75% to 99% of my time
1% to 25% of my time
50% to 74% of my time
50% to 74% of my time
1% to 25% of my time
50% to 74% of my time
75% to 99% of my time
0% of my time
75% to 99% of my time
1% to 25% of my time
1% to 25% of my time
75% to 99% of my time
25% to 49% of my time
25% to 49% of my time
25% to 49% of my time
1% to 25% of my time
1% to 25% of my time
75% to 99% of my time
50% to 74% of my time
25% to 49% of my time
75% to 99% of my time
50% to 74% of my time
75% to 99% of my time
75% to 99% of my time
25% to 49% of my time
25% to 49% of my time
100% of my time
50% to 74% of my time
1% to 25% of my time
50% to 74% of my time
1% to 25% of my time
1% to 25% of my time
50% to 74% of my time
25% to 49% of my time
100% of my time
25% to 49% of my time
25% to 49% of my time
100% of my time
1% to 25% of my time
25% to 49% of my time
100% of my time
1% to 25% of my time
1% to 25% of my time
50% to 74% of my time
75% to 99% of my time
25% to 49% of my time
50% to 74% of my time
75% to 99% of my time
1% to 25% of my time
75% to 99% of my time
1% to 25% of my time
1% to 25% of my time
75% to 99% of my time
1% to 25% of my time
25% to 49% of my time
50% to 74% of my time
1% to 25% of my time
25% to 49% of my time
100% of my time
25% to 49% of my time
0% of my time
50% to 74% of my time
75% to 99% of my time
25% to 49% of my time
25% to 49% of my time
50% to 74% of my time
1% to 25% of my time
75% to 99% of my time
50% to 74% of my time
75% to 99% of my time
100% of my time
25% to 49% of my time
50% to 74% of my time
1% to 25% of my time
1% to 25% of my time
50% to 74% of my time
50% to 74% of my time
50% to 74% of my time
25% to 49% of my time
50% to 74% of my time
50% to 74% of my time
75% to 99% of my time
100% of my time
50% to 74% of my time
25% to 49% of my time
50% to 74% of my time
50% to 74% of my time
25% to 49% of my time
1% to 25% of my time
25% to 49% of my time
50% to 74% of my time
1% to 25% of my time
50% to 74% of my time
1% to 25% of my time
75% to 99% of my time
1% to 25% of my time
1% to 25% of my time
75% to 99% of my time
0% of my time
50% to 74% of my time
50% to 74% of my time
75% to 99% of my time
50% to 74% of my time
25% to 49% of my time
50% to 74% of my time
50% to 74% of my time
1% to 25% of my time
50% to 74% of my time
1% to 25% of my time
75% to 99% of my time
1% to 25% of my time
50% to 74% of my time
1% to 25% of my time
